SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ELI_200,LIVELLI_WLE_ELI,peso_studente,peso_classe,peso_scuola,ESCS_studente
1346,738,11971,4,13,2,3,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,148.267518770012,1,29.6131578947368,5.60526315789474,5.2830985915493,-1.09737728124353
1346,738,11972,4,13,2,7,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,147.683704509429,1,29.6131578947368,5.60526315789474,5.2830985915493,.410738313056407
1346,738,11973,4,13,2,1,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,132.858493859991,1,29.6131578947368,5.60526315789474,5.2830985915493,-.842423938077291
1346,738,11974,4,13,2,7,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,148.355694210678,1,29.6131578947368,5.60526315789474,5.2830985915493,-2.06208982848491
1346,738,11975,4,13,2,8,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,151.273076036757,1,29.6131578947368,5.60526315789474,5.2830985915493,-1.09737728124353
1340,726,11976,1,13,2,9,4,1,1,1,1,1,12,8,12,6,12,7,3,15,4,214.682248203745,2,24.0952380952381,1.4047619047619,17.1525423728814,-.698673465658137
1340,726,11977,1,13,2,4,5,1,1,1,1,1,12,10,12,6,12,9,3,15,4,283.275778525767,3,24.0952380952381,1.4047619047619,17.1525423728814,-1.59050160802583
1355,756,11978,3,13,1,7,4,1,1,9,9,9,12,6,12,2,12,6,3,15,4,232.561351171728,3,51.6013071895425,3.33333333333333,15.4803921568627,-1.59050160802583
1355,755,11979,3,13,1,9,4,1,1,9,9,9,12,5,12,4,12,5,3,15,4,182.116217389505,2,51.6013071895425,3.33333333333333,15.4803921568627,.266039081583244
1355,756,11980,3,13,1,8,4,1,1,9,9,9,12,6,12,5,12,5,3,15,4,180.443565451101,2,51.6013071895425,3.33333333333333,15.4803921568627, 
1355,755,11981,3,13,1,8,4,1,1,1,1,3,12,6,12,5,12,8,3,15,4,213.301499369621,2,51.6013071895425,3.33333333333333,15.4803921568627,-.349299611294997
1340,726,11982,1,13,2,8,4,1,1,1,1,1,12,8,12,8,12,8,3,15,4,198.302729890882,2,24.0952380952381,1.4047619047619,17.1525423728814,.571135211133212
1340,726,11983,1,13,2,4,5,1,1,1,1,1,12,7,12,4,12,7,3,15,4,285.852593004117,3,24.0952380952381,1.4047619047619,17.1525423728814,.995015048036506
1340,726,11984,1,13,2,7,4,4,1,1,1,1,12,5,12,5,12,7,3,15,4,250.993145678613,3,24.0952380952381,1.4047619047619,17.1525423728814,.12228860916409
1340,725,11985,1,13,2,7,4,1,1,1,1,1,12,6,12,5,12,6,3,15,4,187.450642667089,2,24.0952380952381,1.4047619047619,17.1525423728814,-.842423938077291
1340,726,11986,1,13,2,6,4,1,1,1,1,1,12,5,12,4,12,5,3,15,4,187.450642667089,2,24.0952380952381,1.4047619047619,17.1525423728814,.12228860916409
1335,716,11987,1,13,2,5,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,230.841589392361,3,53.1448275862069,1.44827586206897,36.6952380952381,-.875545083265434
1335,716,11988,1,13,1,8,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,160.259927131302,1,53.1448275862069,1.44827586206897,36.6952380952381,1.51438999396618
1335,715,11989,1,13,2,1,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,240.217749907823,3,53.1448275862069,1.44827586206897,36.6952380952381,-.670870460375457
1335,715,11990,1,13,2,4,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,205.307658804443,2,53.1448275862069,1.44827586206897,36.6952380952381,1.31658589711697
1335,715,11991,1,13,1,5,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,266.628513415706,3,53.1448275862069,1.44827586206897,36.6952380952381,.859584915025529
1351,748,11992,4,13,1,2,5,1,1,1,1,1,6,7,6,6,6,6,3,15,4,137.238384137078,1,59.2263157894737,2.15789473684211,27.4463414634146,-.52085308899683
1348,742,11993,4,13,2,11,4,1,1,9,9,9,5,6,6,7,7,7,3,15,4,156.538127697637,1,29.6131578947368,4.47368421052632,6.61941176470588, 
1340,725,11994,1,13,2,11,4,1,1,1,1,1,12,8,12,7,12,8,3,15,4,255.205538729207,3,24.0952380952381,1.4047619047619,17.1525423728814,-.842423938077291
1340,725,11995,1,13,2,11,4,1,1,1,1,1,12,6,12,4,12,6,3,15,4,178.629544319221,2,24.0952380952381,1.4047619047619,17.1525423728814,-.992441309455918
1340,726,11996,1,13,2,3,5,3,1,9,9,9,12,7,12,5,12,7,3,15,4,235.652580296633,3,24.0952380952381,1.4047619047619,17.1525423728814,-1.16399478715775
1347,740,11997,4,13,2,9,4,1,1,1,1,1,12,7,12,6,12,7,3,15,4,164.392010972729,1,31.2583333333333,5.27777777777778,5.92263157894737,-.935537961560539
1354,754,11998,3,13,2,4,4,1,1,1,1,1,3,4,4,4,4,4,3,15,4,164.164461163099,1,33.172268907563,3.5,9.47779111644658,-1.62044050630434
1355,756,11999,3,13,1,9,4,1,1,1,1,1,12,6,12,5,12,5,3,15,4,138.889633284187,1,51.6013071895425,3.33333333333333,15.4803921568627,-.803609437445753
1346,737,12000,4,13,1,9,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,138.020703276991,1,29.6131578947368,5.60526315789474,5.2830985915493, 
1355,756,12001,3,13,1,1,5,1,1,9,9,9,12,7,12,6,12,6,3,15,4,240.147263050264,3,51.6013071895425,3.33333333333333,15.4803921568627,-1.46585283910195
1354,753,12002,3,13,1,7,4,1,1,1,1,1,5,5,4,4,6,4,3,15,4,169.305271361107,1,33.172268907563,3.5,9.47779111644658,-.992441309455918
1346,737,12003,4,13,1,11,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,168.381257835124,1,29.6131578947368,5.60526315789474,5.2830985915493,-1.32120943832493
1340,726,12004,1,13,2,4,5,1,1,1,1,1,12,7,12,6,12,8,3,15,4,249.564273732179,3,24.0952380952381,1.4047619047619,17.1525423728814,-.820084156976245
1340,726,12005,1,13,2,1,5,1,1,1,1,1,12,10,12,6,12,9,3,15,4,261.843250636731,3,24.0952380952381,1.4047619047619,17.1525423728814,.37097505337086
1347,739,12006,4,13,1,6,4,1,1,1,1,1,12,5,12,4,12,4,3,15,4,167.385628943211,1,31.2583333333333,5.27777777777778,5.92263157894737,-2.06928710827347
1347,739,12007,4,13,1,12,4,1,1,1,1,1,12,5,12,4,12,5,3,15,4,178.441020401129,2,31.2583333333333,5.27777777777778,5.92263157894737,-1.59050160802583
1347,739,12008,4,13,1,5,4,1,1,1,1,1,12,6,12,5,12,5,3,15,4,159.650522525879,1,31.2583333333333,5.27777777777778,5.92263157894737,-1.59050160802583
1346,738,12009,4,13,2,11,4,1,1,9,9,9,99,99,99,99,99,99,9,15,4,151.273076036757,1,29.6131578947368,5.60526315789474,5.2830985915493,-2.57245227092218
1346,738,12010,4,13,2,4,4,1,1,9,9,9,99,99,99,99,99,99,9,15,4,163.249365076005,1,29.6131578947368,5.60526315789474,5.2830985915493,-.337339356892129
1346,738,12011,4,13,2,3,5,1,1,9,9,9,99,99,99,99,99,99,9,15,4,164.79718564268,1,29.6131578947368,5.60526315789474,5.2830985915493,-1.59050160802583
1347,739,12012,4,13,1,6,4,1,1,1,1,1,12,8,12,7,12,7,3,15,4,158.761319988906,1,31.2583333333333,5.27777777777778,5.92263157894737,-2.22182135788238
1347,739,12013,4,13,1,12,4,1,1,1,1,1,12,6,12,6,12,5,3,15,4,159.995028700667,1,31.2583333333333,5.27777777777778,5.92263157894737,-1.50280375189319
1347,739,12014,4,13,1,9,4,1,1,1,1,1,12,7,12,6,12,7,3,15,4,182.936004909269,2,31.2583333333333,5.27777777777778,5.92263157894737,-1.90025050880192
1335,715,12015,1,13,1,3,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,189.66719863065,2,53.1448275862069,1.44827586206897,36.6952380952381,.12228860916409
1335,715,20220,1,13,1,7,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,263.126773462912,3,53.1448275862069,1.44827586206897,36.6952380952381, 
1335,716,12016,1,13,1,5,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,198.065945854223,2,53.1448275862069,1.44827586206897,36.6952380952381,.227224580951706
1335,715,12017,1,13,2,5,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,270.556264780999,3,53.1448275862069,1.44827586206897,36.6952380952381,.568508227168429
1335,716,12018,1,13,2,9,4,1,1,1,1,1,99,99,99,99,99,99,9,15,4,172.299183010458,2,53.1448275862069,1.44827586206897,36.6952380952381,1.21515892598676
1335,715,12019,1,13,1,4,5,1,1,1,1,1,99,99,99,99,99,99,9,15,4,256.760276039928,3,53.1448275862069,1.44827586206897,36.6952380952381,1.15881598300494
