SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,TIPO_SCUOLA,Grado,genere,mese,anno,luogo,regolarità,origine,luogo_padre,luogo_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_MAT_200,LIVELLI_WLE_MAT,peso_studente,peso_classe,peso_scuola,ESCS_studente
1349,743,19339,3,13,1,2,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,166.208762276287,1,24.4427244582043,1.6140350877193,15.1438618925831,-1.74051897940445
1364,772,19340,3,13,1,6,1,1,3,9,9,9,6,6,6,6,6,6,3,15,4,162.18770486764,1,24.8792016806723,1.05357142857143,23.6141575274177,.546168446067384
1349,743,19341,3,13,1,1,1,9,3,9,9,9,99,99,99,99,99,99,9,15,4,183.020619702258,2,24.4427244582043,1.6140350877193,15.1438618925831,.515674284844023
1418,919,19342,3,13,2,1,1,1,3,9,9,9,12,8,12,7,12,6,3,18,5,181.989478753378,2,20.6709401709402,1.23076923076923,16.7951388888889,-.0349260420030874
1307,630,19343,1,13,2,12,2,3,3,9,9,9,12,6,12,6,12,6,3,13,4,184.518557575955,2,16.25,3.125,5.2,-.553974234184974
503,9,19344,2,13,1,8,1,1,3,1,1,9,12,5,12,6,66,66,3,1,1,170.161441340232,2,4,1,4, 
602,219,19345,3,13,1,1,3,1,3,9,9,9,12,6,12,7,12,8,4,51,2,179.966714170245,2,4.19318181818182,1.02272727272727,4.1,-.19928223991637
1150,223,19346,2,13,1,8,3,1,3,1,1,1,7,7,7,7,7,7,4,51,2,120.268980435751,1,1.52296535052377,1.05882352941176,1.43835616438356,-.176942458815324
602,218,19347,3,13,2,8,3,1,3,1,1,1,12,5,12,7,12,7,4,51,2,169.696591278415,2,4.19318181818182,1.02272727272727,4.1,.089167463975947
602,218,19348,3,13,1,2,2,4,3,9,9,9,12,5,12,7,12,5,4,51,2,128.745572755513,1,4.19318181818182,1.02272727272727,4.1,1.16919550970312
1149,220,19349,3,13,1,1,4,1,1,3,3,3,12,7,12,8,12,10,4,51,2,236.322354573215,5,5.42647058823529,1.02941176470588,5.27142857142857,.05264228189617
1150,222,19350,2,13,1,10,3,1,3,9,9,9,4,4,5,5,5,5,4,51,2,175.904986490234,2,1.52296535052377,1.05882352941176,1.43835616438356,-.842423938077291
1328,701,19351,1,13,2,6,4,9,1,9,9,9,99,99,99,99,99,99,9,15,4,211.966060905242,4,35.0272727272727,7.52272727272727,4.65619335347432,2.08700334816655
1449,988,19352,3,13,1,9,1,1,3,9,9,9,6,7,6,6,5,4,3,19,5,131.688764932014,1,29.6666666666667,1.71739130434783,17.2742616033755,-1.44675113560667
1418,919,19353,3,13,2,9,1,1,3,9,9,9,12,8,12,6,12,6,3,18,5,198.639579167459,3,20.6709401709402,1.23076923076923,16.7951388888889,-1.15217283885338
1425,933,19354,3,13,1,3,1,1,3,9,9,9,12,8,12,6,12,7,3,19,5,203.261017067123,3,47.0574712643678,3.75862068965517,12.519877675841,-.658910205972589
602,218,19355,3,13,2,7,3,1,3,1,1,1,12,7,12,7,12,8,4,51,2,113.735910733597,1,4.19318181818182,1.02272727272727,4.1,.142001406300353
602,218,19356,3,13,1,10,3,1,3,9,9,9,12,5,12,8,12,8,4,51,2,163.856064258768,1,4.19318181818182,1.02272727272727,4.1,.89007907624889
602,218,19357,3,13,1,7,3,1,3,9,9,9,12,5,12,7,12,6,4,51,2,170.042797498442,2,4.19318181818182,1.02272727272727,4.1,.560617378336533
602,218,19358,3,13,1,3,2,1,3,9,9,9,12,6,12,7,12,6,4,51,2,175.06784234609,2,4.19318181818182,1.02272727272727,4.1,.156527153267346
602,218,19359,3,13,1,11,3,1,3,1,1,4,12,5,12,8,12,6,4,51,2,169.828624830721,2,4.19318181818182,1.02272727272727,4.1,.926944604316928
1150,223,19360,2,13,1,8,3,1,3,1,1,1,6,6,7,7,7,7,4,51,2,159.993395657885,1,1.52296535052377,1.05882352941176,1.43835616438356,.568508227168429
602,218,19361,3,13,1,7,3,1,3,9,9,9,12,5,12,8,12,6,4,51,2,158.983806806027,1,4.19318181818182,1.02272727272727,4.1,.089167463975947
1360,764,19362,2,13,2,2,1,1,3,9,9,9,8,8,7,7,6,6,3,15,4,170.233943304565,2,16.6575630252101,1.02941176470588,16.1816326530612,-.497631291203156
551,109,19363,2,13,2,5,3,1,3,9,9,9,12,5,12,6,12,4,3,3,1,150.583769574505,1,16.15625,1.3125,12.3095238095238,-.853205302164389
1130,172,19364,4,13,1,9,4,4,1,9,9,9,66,6,66,6,66,8,3,4,1,156.971507964671,1,44.1344537815126,6.85294117647059,6.44022072348253,-.678067740164008
618,255,19365,3,13,1,10,4,1,1,9,9,9,12,7,12,5,12,9,3,6,2,152.186646054777,1,36.1041666666667,1.85416666666667,19.4719101123596,.246937378087969
1211,379,19366,2,13,1,2,3,4,3,9,9,9,12,6,12,3,12,7,3,8,2,156.210586675864,1,23.260162601626,2.73170731707317,8.51488095238095,-.553974234184974
1218,396,19367,2,13,2,3,4,1,1,9,9,9,12,7,12,6,12,7,3,8,2,170.233943304565,2,23.8416666666667,2.15,11.0891472868217,.673444198956045
1231,428,19368,3,13,1,3,4,2,1,9,9,9,12,7,12,3,12,6,3,9,3,173.642378671005,2,28.5714285714286,6.65,4.29645542427497,-.105127632215852
1241,460,19369,2,13,2,7,4,4,1,9,9,9,7,8,12,6,7,7,3,10,3,154.690583645289,1,5.21478250798527,.755102040816326,6.9060633213859, 
1287,579,19370,2,13,1,10,4,1,1,9,9,9,7,7,12,6,8,7,3,12,3,127.508658395861,1,22.6707317073171,3.5609756097561,6.36643835616438,-.377102616577677
1309,637,19371,2,13,2,9,4,1,1,9,9,9,8,8,12,8,8,8,3,13,4,191.646837915133,3,8.60975609756098,2.92682926829268,2.94166666666667,-.997904533637552
1316,673,19372,1,13,2,8,4,1,1,9,9,9,12,5,12,3,12,5,3,14,4,114.720398566426,1,4.9609375,1.53125,3.23979591836735,-.198400223223741
1358,762,19373,1,13,1,8,4,1,1,9,9,9,12,6,12,7,12,9,3,15,4,172.771298659313,2,32.1083333333333,3.9375,8.15449735449735,-1.16399478715775
